DST,MOPH
carboprost 250 mcg / mL Intramuscular injection 1 mL,"bismuth subcitrate potassium
 140mg + metronidazole 125mg
 + tetracycline HCl 125mg
   "
carglumic acid 200 mg Oral Disp tablet,"Bisoprolol Fumarate 10 mg
  "
carvedilol 25 mg Oral Tab,"Bisoprolol fumarate 10mg
 "
carvedilol 6.25 mg Oral Tab,"Bisoprolol Fumarate 10mg/tablet
  "
caspofungin acetate 50 mg intravenous Powder for Injection,"Bisoprolol Fumarate 5 mg
 "
caspofungin acetate 70 mg intravenous Powder for Injection,Bisoprolol fumarate 5mg
ceFAZolin 1000 mg intravenous powder for injection,"Bisoprolol Fumarate 5mg/tablet
  "
"ceFAZolin sodium 500 mg IM,IV powder for injection","Bisoprolol hemifumarate 10
 mg  "
cefepime hydrochloride 2000 mg intravenous powder for injection,"Bisoprolol hemifumarate 10
 mg
Hydrochlorothiazide 6.25
 mg  "
cefixime 100 mg / 5 ml oral powder for suspension 60 ml,"Bisoprolol hemifumarate 2.5
 mg  "
cefixime 200 mg Oral Cap,"Bisoprolol hemifumarate 2.5
 mg
Hydrochlorothiazide 6.25
 mg  "
cefixime 400 mg Oral Cap,"Bisoprolol hemifumarate 5
 mg  "
cefotaxime 1000 mg intravenous powder for injection,"Bisoprolol hemifumarate 5
 mg
Hydrochlorothiazide 6.25
 mg  "
cefoxitin sodium 2000 mg intravenous powder for injection,Bortezomib 3.5mg
Ceftaroline fosamil 400 mg intravenous powder for injection,Botulinum Toxin Type A
Ceftazidime Pentahydrate 1000 mg intravenous powder for injection,"Brinzolamide 10 MG and 5 mg
 timolol (as timolol maleate)
  "
ceftazidime-avibactam 2000-500 mg intravenous powder for injection,Bromazepam 1.5mg
cefTRIAXone 1000 mg intravenous powder for injection,Bromazepam 3mg
Cefuroxime 125 mg /5ml oral powder for suspension 70 ml,Bromazepam 6mg
cefuroxime 250 mg /5 ml oral powder for suspension 50 ml,Bromelain 500 FIP-units
cefuroxime 250 mg Oral Tab,Bromelain 500 FIP-units
cefuroxime 500 mg Oral Tab,"BROMHEXINE HCL 0.0816 gm/100
 ml  "
cefuroxime sodium 1500 mg intravenous powder for injection,"Bromhexine Hydrochloride 8mg
  "
cefuroxime sodium 750 mg intravenous powder for injection,Bromhexine HCl 4mg/5ml
celecoxib 200 mg Oral Cap,"Ibuprofen Syrup 100mg/5ml
  "
celecoxib 50 mg Oral Cap,"Budesonide + formoterol fumarate
 dihydrate, 160 µg + 4.5 µg/dose
  "
cephalexin 250 mg /5 ml oral powder for suspension 100 ml,"Budesonide + formoterol fumarate
 dihydrate, 320 µg + 9 µg/dose
  "
cephalexin 250 mg Oral Cap,"Budesonide + formoterol fumarate
 dihydrate, 80 µg + 4.5 µg/dose
  "
ceramides moisturizing Cream (CeraVe) - - topical cream 453 g,"Budesonide,  0.25 mg/ml  "
cetirizine 1 mg /ml oral flavored syrup 75 ml,"Budesonide,  0.5 mg/ml  "
cetirizine 10 mg Oral Tab,"Budesonide, 200 µg/dose  "
cetrimide 0.5 % topical cream 50 g,"Budesonide, 200 µg/dose  "
cetrorelix 0.25 mg intravenous Powder for Injection,"Budesonide, 32 µg/dose  "
cherry Syrup (Compounding) 473 ML Oral Liquid,"Budesonide, 32 µg/dose  "
chloramphenicol 0.5 %% - OPHTHALMIC Solution 10 mL,"Budesonide, 32 µg/dose  "
chloramphenicol 1% opth oint 5 gm 1 % ophthalmic ointment 5 g,"Budesonide, 64 µg/dose  "
chloramphenicol eye oint 1 % ophthalmic ointment 4 g,"Budesonide, 64 µg/dose  "
chlorhexidine 0.05 % topical solution 25 ml,"Budesonide, 64 µg/dose  "
chlorhexidine 0.12 % mouth wash solution 150 ml,"Bupivacaine Hydrochloride
 in Dextrose Injection  USP
 (5 mg/ml)  "
chlorhexidine 0.2 % mouth wash solution 250 ml,"Bupivacaine Injection BP (0.5%
 W/V)  "
chlorhexidine 1 % topical cream 250 ml,Ibuprofen 200mg
chlorhexidine 2 % topical solution 946 g,Ibuprofen 400mg
chlorhexidine gluco 4 % topical solution 125 ml,Ibuprofen 400mg
chlorhexidine gluconate 0.12 % /150mL mouth wash solution ml,"Bupropion hydrochloride 150
 mg  "
chlorhexidine-ethanol 0.5 - 70 % -% topical Spray 200 mL,"Bupropion hydrochloride 300
 mg  "
chlorhex-lido 0.25/2 % topical gel 6 ml,Busuphlan 2mg
chloroquine phosphate 250 mg Oral Scored Tab,"Butamirate citrate 5 MG/ ML
  "
chlorothiazide 500 mg intravenous powder for injection,"Butamirate citrate 15 MG/
 10 ML  "
chlorothiazide 500 mg Oral Scored Tab,CABAZITAXEL 60MG/1.5ML
chlorpheniramine 2 mg /5ml oral unflavoed syrup 100 ml,CABERGOLINE 0.5mg
chlorpheniramine 4 mg Oral Scored Tab,CABERGOLINE 0.5mg
chlorpromazine 100 mg Oral FC Tab,"Carbidopa 25 mg /Levodopa
 250 mg  "
chlorpromazine 25 mg Oral FC Tab,"CALCIPOTRIOL ANHYDROUS 50
 MCG/GM  "
chlorproMAZINE hydrochloride 25 mg /mL intramuscular solution for injection 2 mL,"CALCIPOTRIOL HYDRATE 50 MCG/
 ML  "
"cholecalciferol (D3) 300,000 units/mL 7.5 mg /mL IM/oral solution for injection 1 mL","CALCIPOTRIOL HYDRATE 50 MCG/
 ML  "
cholecalciferol (D3) 400 iu /drop oral sugar free solution 11.7 ml,"CALCIPOTRIOL HYDRATE 50 MCG/G
  "
cholecalciferol (D3) 4000 iu /ml oral alcohol free solution 10 ml,"CALCIPOTRIOL Hydrate 50 MCG/G
 + BETAMETHASONE DIPROPIONATE
 0.5 MG/G  "
cholecalciferol 1000 IU Oral Gel Cap,"CALCIPOTRIOL Hydrate 50 MCG/G
 + BETAMETHASONE DIPROPIONATE
 0.5 MG/G  "
cholecalciferol 400 IU Oral Softgel cap,"CALCIPOTRIOL Hydrate 50 MCG/G
 + BETAMETHASONE DIPROPIONATE
 0.5 MG/G  "
cholecalciferol 50000 IU Oral Cap,"CALCIPOTRIOL MONOHYDRATE 50
 MCG/G + BETAMETHASONE DIPROPIONATE
 0.5 MG/G  "
cholestyramine resin 4 gm oral powder orange flavour,"CALCIPOTRIOL MONOHYDRATE 50
 MCG/G + BETAMETHASONE DIPROPIONATE
 0.5 MG/G  "
cholic acid 250 mg Oral Cap,"Calcitriol 0.25 mcg cap.
 "
"choline chloride / cyanocobalamin (vitamin B12) / ergocalciferol (vitamin D2) / retinol (vitamin A) / Syrup 150 - 12.5 - 400 - 25,000 mg-mcg-IU-IU / 5ml Oral Sugar FREE 150 mL","Calcium 600 mg
Vitamin D3
  200 IU  "
choline-L-Bitartrate (Compounding) 250 g Oral Powder,"Calcium carbonate  875 mg
 ,Calcium gluconate- lactate
 1132 mg  "
cidofovir 75 mg /mL intravenous solution for injection 5 mL,"Calcium carbonate 327 mg+Calcium
 lactate-gluconate 1 gm+

Calcium + Ascorbic acid 1
 gm  "
cinacalcet 30 mg Oral FC Tab,"Calcium Carbonate 680mg +

Magnesium Carbonate 80mg
  "
cinchocaine 1 % topical ointment 28 g,"Calcium Chloride dihydrate
 - 0.02%
Potassium Chloride
 - 0.03%
Sodium Chloride –
 0.6%
Sodium Lactate – 0.31%
  "
cinnarizine 25 mg Oral Scored Tab,"Calcium Chloride dihydrate
 - 0.02%
Potassium Chloride
 - 0.03%
Sodium Chloride –
 0.6%
Sodium Lactate – 0.31%
  "
ciprofloxacin 0.2% w/v 2 mg /mL intravenous solution for injection 100 mL,"Calcium Chloride dihydrate
 - 0.02%
Potassium Chloride
 - 0.03%
Sodium Chloride –
 0.6%
Sodium Lactate – 0.31%
  "
ciprofloxacin 0.3 % ophthalmic solution 5 ml,"Calcium Chloride dihydrate
 - 0.02%
Potassium Chloride
 - 0.03%
Sodium Chloride –
 0.6%
Sodium Lactate – 0.31%
  "
ciprofloxacin 250 mg /5 ml oral powder for suspension 100 ml,"Calcium Chloride dihydrate
 - 0.02%
Potassium Chloride
 - 0.03%
Sodium Chloride –
 0.6%
Sodium Lactate – 0.31%
  "
ciprofloxacin 250 mg Oral FC Tab,"Calcium Chloride dihydrate
 - 0.02%
Potassium Chloride
 - 0.03%
Sodium Chloride –
 0.6%
Sodium Lactate – 0.31%
  "
ciprofloxacin 500 mg Oral FC Tab,"Calcium Chloride dihydrate
 - 0.02%
Potassium Chloride
 - 0.03%
Sodium Chloride –
 0.6%
Sodium Lactate – 0.31%
  "
ciprofloxacin-hydrocort 0.2/1 % otic solution 10 ml,"Calcium Chloride dihydrate
 - 0.02%
Potassium Chloride
 - 0.03%
Sodium Chloride –
 0.6%
Sodium Lactate – 0.31%

Dextrose – 5%  "
cisatracurium besylate 2 mg /mL - - 10 mL,"Calcium Chloride dihydrate
 - 0.02%
Potassium Chloride
 - 0.03%
Sodium Chloride –
 0.6%
Sodium Lactate – 0.31%

Dextrose – 5%  "
CISplatin 1 mg /mL intravenous preservative free solution for injection 50 mL,"Calcium Chloride Dihydrate
 18.4 mg; Dextrose Monohydrate
 1.5 g; Magnesium Chloride
 Hexahydrate 5.1 mg; Sodium
 Chloride 540 mg; Sodium Lactate
 450 mg / 100 ml   "
citalopram hydrobromide 10 mg Oral FC Tab,"Calcium Chloride Dihydrate
 18.4 mg; Dextrose Monohydrate
 1.5 g; Magnesium Chloride
 Hexahydrate 5.1 mg; Sodium
 Chloride 540 mg; Sodium Lactate
 450 mg / 100 ml   "
citalopram hydrobromide 20 mg Oral FC Tab,"Calcium Chloride Dihydrate
 18.4 mg; Dextrose Monohydrate
 2.5 g; Magnesium Chloride
 Hexahydrate 5.1 mg; Sodium
 Chloride 540 mg; Sodium Lactate
 450 mg / 100 ml   "
citalopram hydrobromide 40 mg Oral FC Tab,"Calcium Chloride Dihydrate
 18.4 mg; Dextrose Monohydrate
 2.5 g; Magnesium Chloride
 Hexahydrate 5.1 mg; Sodium
 Chloride 540 mg; Sodium Lactate
 450 mg / 100 ml   "
citric acid monohydrate (Compounding) 1000 G Oral POWDER,"Calcium Chloride Dihydrate
 18.4 mg; Dextrose Monohydrate
 4.25 g; Magnesium Chloride
 Hexahydrate 5.1 mg; Sodium
 Chloride 540 mg; Sodium Lactate
 450 mg / 100 ml   "
citric acid-mag oxide-sod picosulfate 12-3.5-10 gm-gm-mg oral powder,"Calcium Chloride Dihydrate
 18.4 mg; Dextrose Monohydrate
 4.25 g; Magnesium Chloride
 Hexahydrate 5.1 mg; Sodium
 Chloride 540 mg; Sodium Lactate
 450 mg / 100 ml   "
citric acid-Na citrate 1 mEq /ml oral sugar free solution 473 ml,"Calcium dobesilate 500mg
 "
cladribine 1 mg /mL - injection 10 mL,"Calcium dobesilate 500mg
 "
clarithromycin 125 mg /5 ml oral powder for suspension 100 ml,"Calcium dobesilate monohydrate
 40mg/g
Lidocaine HCl 20mg/g
  "
clarithromycin 250 mg /5 ml oral powder for suspension 100 ml,"Calcium dobesilate monohydrate
 40mg/g
Lidocaine HCl 20mg/g
 +  dexamethasone  0.25mg/g
  "
clarithromycin 250 mg Oral FC Tab,"Calcium Glubionate 1.437g/5ml
 & Calcium Lactobionate 0.295g/5ml
  "
clarithromycin 500 mg Oral FC MR TAB,"Candesartan Cilexetil 16mg
  "
clarithromycin 500 mg Oral FC Tab,"Candesartan Cilexetil 8mg
  "
clarithromycin lactobionate 500 mg intravenous powder for injection,"Candesartan Cilexetil & Hydrochlorothiazide

(16 mg + 12.5 mg)/Tablet
  "
clindamycin 100 mg Vaginal tab,"Candesartan Cilexetil & Hydrochlorothiazide

(8mg + 12.5 mg)/Tablet  "
clindamycin 150 mg Oral Cap,"Candesartan cilexetil + hydrochlorothiazide,
 16 mg + 12.5 mg  "
clindamycin 2 %% Vaginal cream,Candesartan cilexetil16 mg
clindamycin 75 mg /5 ml oral powder for suspension 100 ml,Candesartan cilexetil4 mg
"clindamycin phosphate 150 mg /mL IM,IV solution for injection 2 mL",Candesartan cilexetil8 mg
clobazam 10 mg oral Tab,Capecitabine 150mg
clobazam 2 mg mL oral sugar free suspension 150 mL,Capecitabine500mg
clobetasol 0.05 % topical ointment 25 g,"Capsicum Tincture BPC 0.022
 ml
Benzoin Tincture BPC 0.083
 ml
Cetylpyridinium Chloride
 BP 1.5 mg  "
clobetasone 0.05 % topical cream 25 g,Captopril 25 mg
Clomiphene 50 mg Oral Tab,Captopril 25mg
clomipramine 25 mg Oral FC TAB,Captopril 25mg
clomipramine 75 mg Oral SR Scored Tab,Captopril 25mg
clonazePAM 0.5 mg oral Tab,Captopril 50mg
clonazePAM 2 mg oral Tab,Captopril 50mg
clonazepam 2.5 mg / mL Oral solution 10 mL,Captopril 50mg
Clonidine 0.1 mg Oral ER Tab,Carbamazepine 100mg/5ml
cloNIDine 0.1 mg/24 hr topical patch 4 mg,Carbamazepine 200 mg
Clonidine 0.3 mg Oral Tab,Carbamazepine 200 mg
cloNIDine 0.3 mg/24 hr topical patch 4 mg,Carbamazepine 400 mg
Clonidine 100 MCG Oral Tab,Carbetocin 100 mcg/ml
Clonidine 150 MCG Oral Tab,"Levodopa 100mg + Carbidopa
 25mg + Entacapone 200mg
 "
Clonidine 25 MCG Oral Tab,"Levodopa 125mg + Carbidopa
 31.25mg + Entacapone 200mg
  "
clonidine hydrochloride 0.15 mg /mL intravenous solution for injection 1 mL,"Levodopa 150mg + Carbidopa
 37.5mg + Entacapone 200mg
  "
clopidogrel 300 mg Oral FC Tab,"Levodopa 200mg + Carbidopa
 50mg + Entacapone 200mg
 "
clopidogrel 75 mg Oral FC Tab,"Levodopa 200mg + Carbidopa
 50mg + Entacapone 200mg
 "
clotrimazole 1 % topical cream 15 g,"Levodopa 50mg + Carbidopa
 12.5mg + Entacapone 200mg
  "
clotrimazole 1% 1 % topical lotion 20 ml,"Levodopa 75mg + Carbidopa
 18.75mg + Entacapone 200mg
  "
clotrimazole 100 mg Vaginal tab,Carbimazole 5mg
clotrimazole 500 mg Vaginal tab,Carvedilol 25mg
cloxacillin 125 mg /5 ml Oral Suspension 100 mL,Carvedilol 6.25mg
cloxacillin 250 mg Oral Cap,Caspofungin 50mg
cloxacillin 500 mg Oral Cap,Caspofungin 70mg
cloxacillin sodium 500 mg intravenous powder for injection,"Cefaclor 125mg/5ml
(as Monohydrate)
  "
Clozapine 100 mg Oral Scored Tab,"Cefaclor 250mg
(as Monohydrate)
  "
Clozapine 25 mg Oral Scored Tab,"Cefaclor 250mg/5ml
(as Monohydrate)  "
cmcellulose 0.5 % ophthalmic minims 0.4 ml,"Cefaclor 375mg/5ml
(as Monohydrate)"
Cobimetinib 20 mg Oral Tab,"Cefaclor 500mg
(as Monohydrate)"
co-enzyme (Co Q-10) 200 mg Oral Power in Cap,Cefadroxil 1000mg
coenzyme CQ10 (Compounding) 500 g Oral Powder,Cefadroxil 125mg/5ml
Colchicine 500 MCG Oral Tab,Cefadroxil 250 mg/5ml
colistimethate 67-160 mg intravenous powder for injection / inhalation,Cefadroxil 250mg/5ml
conjug estrogens 0.625 mg Vaginal cream,Cefadroxil 500 mg
conjugated estrogens 0.3 mg Oral Tab,Cefadroxil 500 mg/5ml
conjugated estrogens 0.625 mg Oral Tab,Cefadroxil 500mg
conjugated estrogens 1.25 mg Oral Tab,Cefadroxil 500mg/5ml
Conjugated estrogens-medroxyprogesterone 0.625-2.5 mg Oral Tab,"Cefadroxil Monohydrate 500mg
  "
cosyntropin (tetracosactide) 250 mcg /mL IV/IM injection 1 mL,"Cefadroxil Monohydrate
538.80mg
 equivalent to 500mg Cefadroxil
  "
cosyntropin (tetracosactide) IM 1 mg /mL Intramuscular injection 1 mL,CEFALEXIN 1000 mg
creatine monohydrate (Compounding) 1500 g Oral Powder,CEFALEXIN 125 MG / 5 ML
creatine monohydrate (Compounding) 500 g Oral Powder,Cefalexin 125 mg/ 5ml
cromolyn (cromoglicate 4 % ophthalmic solution 10 ml,Cefalexin 250 mg
Cromolyn Sod (cromoglicate) 100 mg Oral Cap,CEFALEXIN 250 mg
cupric chloride (copper) 0.4 mg /mL intravenous solution for injection 10 mL,CEFALEXIN 250 mg
cyanocobalamin (Vit B12) 1000 MCG Oral PR tab,CEFALEXIN 250 MG / 5 ML
cyanocobalamin (vitamin B12) (Compounding) 5 g Oral Powder,CEFALEXIN 250 MG / 5 ML
"cyanocobalamin 1 mg /mL SC,IM solution for injection 1 mL",Cefalexin 250 mg/ 5ml
cyclopentolate 0.5 % ophthalmic minims 0.5 ml,Cefalexin 500 mg
cyclopentolate 0.5 % ophthalmic minims 15 ml,CEFALEXIN 500 mg
Cyclopentolate 1 % ophthalmic minims 0.5 ml,CEFALEXIN 500 mg
cyclopentolate 1 % ophthalmic solution 15 ml,CEFALEXIN 500 mg
cyclopentolate 1 % ophthalmic solution 10 mL,CEFALEXIN 500 mg
cyclopentolate-phenyleph 0.2-1 % ophthalmic solution 2 mL,"Cefazolin (as sodium)
1000
 mg/vial  "
cyclopentolate-phenylephrine 0.2-1 % ophthalmic solution 5 ml,"Cefazolin (as sodium)
1000
 mg/vial  "
cyclophosmamide 25 mg Oral Cap,Cefdinir 125 mg/5 ml
cyclophosphamide 500 mg intravenous powder for injection,Cefdinir 125 mg/5 ml
cyclosporin 50 mg /mL intravenous solution for injection 1 mL,Cefdinir 300 mg
cycloSPORINE 0.05 % ophthalmic minims 0.4 ml,Cefepime 1000 mg
cycloSPORINE 100 mg /ml oral unflavored solution 50 ml,Cefepime 2000 mg
Cyclosporine 100 mg Oral Gel Cap,Cefixime  (3H2O) 200mg
Cyclosporine 25 mg Oral Cap,"Cefixime (3H2O) 100mg/5ml
  "
Cyclosporine 50 mg Oral Cap,"Cefixime (3H2O) 100mg/5ml
  "
cyproheptadine 2 mg /5 ml oral unflavored syrup 473 ml,Cefixime (3H2O) 400mg
cyproheptadine 4 mg Oral Tab,"CEFIXIME (AS TRIHYDRATE) 100MG/5ML
  "
cysteamine (mercaptAMINE) 150 mg Oral Cap,"CEFIXIME (AS TRIHYDRATE) 200MG
  "
cysteamine (mercaptAMINE) 50 mg Oral Cap,Cefixime 100 mg / 5 ml
Cysteamine hydrochloride 5.5 mcg - OPHTHALMIC Solution 5 ml,Cefixime 100 mg / 5 ml
"cytarabine 100 mg /mL SC,IV,intrathecal preservative free solution for injection 20 mL",Cefixime100 mg/5 ml
"cytarabine 20 mg /mL SC,IV,intrathecal preservative free solution for injection 5 mL",Cefixime 100 mg/5 ml
cytomegalovirus immune globulin 50 mg /mL - - 50 mL,Cefixime 100mg/5 ml
D Alpha tocopheryl Ace (vitamin E 700 IU) (Compounding) 250 g Oral Powder,Cefixime 100mg/5 ml
D. Pterenyssinus + D. Farinae 50-50 Maintenance - - - - - - -,Cefixime 200 mg
D5w Inj intravenous fluid 100 mL,Cefixime 200 mg
D5w Inj intravenous fluid 1000 mL,Cefixime 200 mg
D5w Inj intravenous fluid 250 mL,Cefixime 400 mg
D5w Inj intravenous fluid 50 mL,Cefixime 400 mg
D5w Inj intravenous fluid 500 mL,Cefixime 400 mg
D5w-KCl 10 mEq Inj Bag (20mEq/L) premix intravenous fluid 500 mL,Cefixime 400 mg
dacarbazine 200 mg intravenous powder for injection,"Cefixime200mg Cefixime Trihydrate
 eq. to 200mg Cefixime "
dactinomycin 0.5 mg intravenous powder for injection,"Cefixime400mg Cefixime Trihydrate
 eq. to 400mg Cefixime "
dalteparin sodium 2500 IU /0.2mL subcutanious solution for injection 0.2 mL,"Cefotaxime (as Sodium)
1000
 mg/vial  "
dalteparin sodium 5000 IU /0.2mL subcutanious solution for injection 0.2 mL,"Cefotaxime (as Sodium)
500
 mg/vial  "
dantrolene sodium 20 mg intravenous powder for injection,CEFOTAXIME SODIUM 1g
dapsone 100 mg Oral Tab,Cefotaxime Sodium 1g IM
DAPTOmycin 500 mg intravenous Powder for Injection (PF),Cefotaxime Sodium 1g IV
darbepoetin alfa 10 mcg /0.4 mL IV/SC prefilled-Syringe 0.4 mL,CEFOTAXIME SODIUM 2g
darbepoetin alfa 20 mcg /0.5 mL IV/SC prefilled-Syringe 0.5 mL,"CEFOTAXIME SODIUM 500 mg
 "
darbepoetin alfa 40 mcg /0.4 mL IV/SC prefilled-Syringe 0.4 mL,"Cefotaxime Sodium 500mg IM/IV
  "
DAUNOrubicin (NOT liposomal) 5 mg /mL Intravenous preservative free soln for inj 4 mL,Cefpodoxime 100mg
DAUNOrubicin (NOT liposomal) hydrochloride 20 mg intravenous powder for injection,"Cefpodoxime 40mg/5ml
(8mg/ml)
  "
Deferasirox 125 mg Oral Disp Tab,Cefpodoxime 8mg/ml
Deferasirox 180 mg Oral FC Tab,"Cefpodoxime proxetil 100mg
  "
Deferasirox 250 mg Oral Disp Tab,"Cefpodoxime proxetil 100mg/5ml
  "
Deferasirox 360 mg Oral FC Tab,"Cefpodoxime proxetil 200mg
  "
Deferasirox 500 mg Oral Disp Tab,"Cefpodoxime proxetil 50mg/5ml
  "
Deferasirox 90 mg Oral FC Tab,"Ceftazidime Pentahydrate 1g
  "
deferiprone 500 mg Oral FC TAB,"Ceftazidime Pentahydrate 1g
   "
"deferoxamine (desferrioxamine) methane sulphonate 500 mg SC,IM,IV powder for injection","Ceftizoxime (as Sodium)
1000
 mg/vial  "
defibrotide 80 mg /mL intravenous solution for injection 2.5 mL,"Ceftizoxime (as Sodium)
1000
 mg/vial  "
deflazacort 30 mg Oral Tab,"Ceftriaxone (as Sodium)
1000
 mg/vial  "
deflazacort 6 mg Oral Tab,"Ceftriaxone (as Sodium)
1000
 mg/vial   "
dehydrated alcohol 98 % /mL - solution for injection 100 mL,"Ceftriaxone (as Sodium)
500
 mg/vial  "
desflurane 100 % - inhalation solution 240 mL,"Ceftriaxone (as Sodium)
500
 mg/vial  "
desloratadine 2.5 mg /5 ml oral flavored syrup 150 ml,Cefotaxime1000 mg
desloratadine 5 mg Oral FC TAB,Ceftriaxone 1000 Mg
desmopressin 10 mcg /0.1mL Nasal Solution 2.5 mL,Ceftriaxone 1000 Mg
desmopressin 10 mcg spray Nasal Spray solution 5 ml,Ceftriaxone 1gm
desmopressin 120 MCG Oral Sublingual Meltab,Ceftriaxone 2gm
desmopressin 4 mcg /mL intravascular solution for injection 1 mL,Ceftriaxone 500 Mg
desogestrel 75 MCG Oral FC TAB,Ceftriaxone 500 Mg
desvenlafaxine 100 mg Oral ER Tab,CEFTRIAXONE SODIUM 1G
desvenlafaxine 50 mg Oral ER Tab,"CEFTRIAXONE SODIUM 250 MG
  "
Desxtrose 10% and sodium chloride 0.9% intravenous fluid 500 mL,"CEFTRIAXONE SODIUM 500 mg
  "
dexamethasone (SF/sorb) 2 mg /5 ml oral sugar free solution 75 ml,Ceftriaxone1gm
dexamethasone 0.1 % ophthalmic solution 5 ml,"Cefuroxime (as cefuroxime
 Axetil ) 250mg  "
dexamethasone 0.5 mg Oral Tab,"Cefuroxime (as cefuroxime
 Axetil ) 500mg  "
dexamethasone 1 mg /ml oral flavored syrup 30 ml,Cefuroxime 250 Mg
dexamethasone 1 mg Oral Tab,Cefuroxime500 Mg
dexamethasone 2 mg Oral Tab,CEFUROXIME 500MG
"dexamethasone 4 mg /mL IM,IV solution for injection 1 mL",Cefuroxime 750 mg/Vial
dexamethasone 4 mg Oral Tab,"Cefuroxime Axetil 125mg/5ml
  "
dexamethasone Elixir 0.5 mg /5 ml oral flavored syrup 100 ml,Cefuroxime Axetil 125mg/5ml
dexamethasone-tobramycin 0.3 % ophthalmic solution 5 ml,Cefuroxime Axetil 250mg
dexameth-neomycin-polymixB - - ophthalmic ointment 3.5 g,CEFUROXIME AXETIL 250mg
dexameth-neomycin-polymixB - - ophthalmic solution 5 ml,Cefuroxime axetil 250mg
dexamethosone / framycetin / gramacidin 0.05-0.5-0.005 % ophthalmic&otic solution 8 ml,"Cefuroxime Axetil 250mg/5ml
  "
dexameth-tobra 0.1-0.3 % ophthalmic ointment 3.5 g,"Cefuroxime Axetil 250mg/5ml
  "
dexmedetomidine 0.1 mg /mL intravenous solution for injection 2 mL,Cefuroxime Axetil 500mg
Dexpanthenol 5 % topical cream 30 g,CEFUROXIME AXETIL 500mg
dexpanthenol 5 % topical ointment 30 g,Cefuroxime axetil 500mg
dexrazoxane 500 mg intravenous powder for injection,"CEFUROXIME SODIUM  250mg
 "
dextran70-mcellul 0.4 % ophthalmic solution 15 ml,"CEFUROXIME SODIUM  750mg
 "
dextranom-hyaluro 50-15mg/mL Submuc gel for Inj 1mL prefilled syringe DEFLUX 50-15 mg /mL submucous Gel for injection 1 mL,"CEFUROXIME SODIUM 1,5g  "
dextrometh-diphenhydr-ephedrine-guaifenesin 4.5-8-5-7.5-50 mg /5ml oral unflavored syrup 125 ml,Cefuroxime Sodium 1.5g
